id;name;meaning;gender;origin;PeoplesCount;WhenPeoplesCount;Source
28281;Aahan;Dawn / Morning;Male;Hindi;236;04.07.2016 13:29:36;myData.biz
28282;Aala;She who hunts and heals;Female;American;2000;04.07.2016 13:29:43;myData.biz
28283;Aaleahya;Sunshine;Female;Indian;17;04.07.2016 13:29:51;myData.biz
28284;Aaleyah;The greatest gift of God.;Female;Arabic;172;04.07.2016 13:30:00;myData.biz
28285;Aalijah;The lord is god. Variant of Elijah.;Female;Hebrew;64;04.07.2016 13:30:08;myData.biz
28286;Aaliyah;Ascender;Female;Arabic;22000;04.07.2016 13:30:16;myData.biz
28287;Aaliyah;Highly exalted.;Female;Hebrew;22000;04.07.2016 13:30:23;myData.biz
28288;Aamori;;Female;African;33;04.07.2016 13:30:32;myData.biz
28289;Aanjay;Unconquerable;Female;Indian;19;04.07.2016 13:30:41;myData.biz
28290;Aaralyn;With song;Female;American;216;04.07.2016 13:30:49;myData.biz
28291;Aaric;Variant of Aric meaning rule with mercy.;Male;English;395;04.07.2016 13:30:55;myData.biz
28292;Aarika;"""Alternate Spelling: Erika, Erica, Ericka.""";Female;Unknown;768;04.07.2016 13:31:03;myData.biz
28293;Aaron;high mountain;Male;Hebrew;555000;04.07.2016 13:31:13;myData.biz
28294;Aaron;High mountain: Lofty or inspired. In the bible Moses' brother Aaron was Israel's first high priest and is remembered for his staff which blossomed miraculously. Popular in English speaking countries since the Protestant Reformation.;Male;Hebrew;555000;04.07.2016 13:31:19;myData.biz
28295;Aarshiya;Heavenly;Female;Unknown;29;04.07.2016 13:31:29;myData.biz
28296;Aart;like an eagle;Male;Anglo;4000;04.07.2016 13:31:35;myData.biz
28297;Aart;Like an eagle;Male;Anglo-Saxon;4000;04.07.2016 13:31:43;myData.biz
28298;Aarthi;Way of offering prayer to god;Female;Indian;3000;04.07.2016 13:31:51;myData.biz
28299;Aarush;First ray of sun.;Male;India;1000;04.07.2016 13:31:59;myData.biz
28300;Aarushi;First ray of the sun.;Female;Indian;2000;04.07.2016 13:32:07;myData.biz
28301;Aase;tree-covered mountain AEGILEIF;Female;Norse;3000;04.07.2016 13:32:16;myData.biz
28302;Aashish;Blessing.;Male;Hindu;10000;04.07.2016 13:32:23;myData.biz
28303;Aashka;Blessing;Female;Indian;377;04.07.2016 13:32:31;myData.biz
28304;Aasiya;"""derived from the arabic verb, to abound, and means abundant, flourishing, thriving, prosperous""";Female;Unknown;0;04.07.2016 13:32:39;myData.biz
28305;Aaylah;Light bearer;Female;Unknown;17;04.07.2016 13:32:48;myData.biz
28306;Abagail;Gives Joy.;Female;Hebrew;1000;04.07.2016 13:32:56;myData.biz
28307;Abaigael;Gives joy;Female;Hebrew;23;04.07.2016 13:33:04;myData.biz
28308;Abaigeal;Gives joy;Female;Hebrew;114;04.07.2016 13:33:12;myData.biz
28309;Aballach;father of Modron;Male;Arthurian;5;04.07.2016 13:33:20;myData.biz
28310;Aballach;Father of Modron;Male;Arthurian Legend;5;04.07.2016 13:33:27;myData.biz
28311;Aban;"old Arabic name; meaning unknown";Male;Arabic;7000;04.07.2016 13:33:35;myData.biz
28312;Abantiades;descendant of Abas ABAS,ABASANTIS;Male;Latin;2;04.07.2016 13:33:43;myData.biz
28313;Abarrane;Feminine form of Abraham father of many;Female;Hebrew;13;04.07.2016 13:33:51;myData.biz
28314;Abarrane;"feminine form of Abraham, &quot;father of many.&quot;Variant, Abame, exists.";Female;Hebrew;13;04.07.2016 13:33:59;myData.biz
28315;Abarrane;"Feminine form of Abraham, from Hebrew.&quot;Father of many.&quot;";Female;Basque;13;04.07.2016 13:34:09;myData.biz
28316;Abarron;Father of a multitude;Male;Hebrew;56;04.07.2016 13:34:16;myData.biz
28317;Abasi;stern;Male;Egyptian;3000;04.07.2016 13:34:24;myData.biz
28318;Abasi;"Swahili name meaning &quot;stern.&quot;";Male;African;3000;04.07.2016 13:34:31;myData.biz
28319;Abayomi;brings joy;Male;Egyptian;0;04.07.2016 13:34:39;myData.biz
28320;Abayomi;"Of uncertain African origin.Means &quot;born to bring me joy.&quot;";Male;African;0;04.07.2016 13:34:47;myData.biz
28321;Abba;Father;Male;Arabic;23000;04.07.2016 13:34:55;myData.biz
28322;Abba;Ghanaian name for females born on Thursday.;Female;African;23000;04.07.2016 13:35:03;myData.biz
28323;Abban;Abbot;Male;Irish;1000;04.07.2016 13:35:11;myData.biz
28324;Abban;abbot ABRACHAM, BRAM;Male;Irish;1000;04.07.2016 13:35:19;myData.biz
28325;Abbas;Lion;Male;Arabic;162000;04.07.2016 13:35:27;myData.biz
28326;Abbey;My father rejoices. Biblical: the name of King David's third wife described as good in discretion and beautiful in form.;Female;Hebrew;100000;04.07.2016 13:35:36;myData.biz
28327;Abbie;"""Gives joy, My father rejoices. Biblical: the name of King David's third wife described as good in discretion and beautiful in form.""";Female;Hebrew;46000;04.07.2016 13:35:43;myData.biz
28328;Abbigale;;Female;Unknown;346;04.07.2016 13:35:52;myData.biz
28329;Abboid;abbey father;Male;Gaelic;2;04.07.2016 13:35:59;myData.biz
28330;Abbot;Abbey father;Male;English;8000;04.07.2016 13:36:07;myData.biz
28331;Abbot;Father;Male;Hebrew;8000;04.07.2016 13:36:15;myData.biz
28332;Abbotson;Son of Abbot;Male;Hebrew;49;04.07.2016 13:36:24;myData.biz
28333;Abbott;Abbey father;Male;English;179000;04.07.2016 13:36:33;myData.biz
28334;Abbott;Father;Male;Hebrew;179000;04.07.2016 13:36:39;myData.biz
28335;Abbud;worshipper;Male;Arabic;975;04.07.2016 13:36:47;myData.biz
28336;Abbudin;worshippers;Male;Arabic;15;04.07.2016 13:36:57;myData.biz
28337;Abby;My father rejoices. Biblical: the name of King David's third wife described as good in discretion and beautiful in form.;Female;Hebrew;156000;04.07.2016 13:37:03;myData.biz
28338;Abd Al Alim;Servant of the all knowing;Male;Arabic;19;04.07.2016 13:37:11;myData.biz
